In which area do you stay in western line in Mumbai?,What is the carpet area of your current house in square feet?,What is the current price of your house in INR?,How many rooms do you have?,What facilities are available in your current society?,What all facilities are currently available in your nearby area?,Car Parking,24hr Water Supply,Maintenance Staff,Lift,Gas Pipeline,Gym,24hr Security,School,College,Hospitals,Medical,Railway Station,Market
Bhayandar,500,5500000,1 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Lift","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Goregaon,450,8050000,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Bhayandar,330,3000000,1 RK,24hr Water Supply,"School,College,Hospitals,Medical,Railway Station,Market",24hr Water Supply,24hr Water Supply,24hr Water Supply,24hr Water Supply,24hr Water Supply,24hr Water Supply,24hr Water Supply,"School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Nallasopara,400,2500000,1 RK,Car Parking,"School,Hospitals,Medical,Railway Station,Market",Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,"School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market"
Bandra,200,8000000,1 RK,"24hr Water Supply,Maintenance Staff","School,College,Hospitals,Medical,Railway Station,Market","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Andheri,475,10000000,1 BHK,"Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Andheri,750,15000000,1 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Khar,450,2000000,1 RK,None of the above,"Medical,Railway Station",None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,"Medical,Railway Station","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station"
Andheri,450,11000000,1 BHK,"24hr Water Supply,Gas Pipeline,Lift","School,College,Hospitals,Medical,Railway Station,Market","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Dahisar,230,2200000,1 BHK,None of the above,"School,Hospitals,Medical,Railway Station,Market",None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,"School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market"
